section,metric,value
baseline,loss,0.208968847990036
baseline,accuracy,0.9819999933242798
baseline,train_time_seconds,38.087141036987305
baseline,inference_time_per_image_seconds,0.00021094489097595216
baseline,epochs,8
baseline,batch_size,128
fgsm,eps,0.25
fgsm,generation_time_sec,3.004584312438965
fgsm,baseline_clean_accuracy,0.9819999933242798
fgsm,baseline_adversarial_accuracy,0.6237
advtrain,eps,0.25
advtrain,advtrain_epochs,5
advtrain,advtrain_batch_size,128
advtrain,advtrain_time_sec,88.96567296981812
advtrain,advtrained_clean_accuracy,0.9715999960899353
advtrain,advtrained_adversarial_accuracy,0.7015
poison,target_class,7
poison,num_poisoned,100
poison,patch_size,4
poison,patch_value,255
poison,epochs,5
poison,batch_size,128
poison,train_time_seconds,23.086008071899414
poison,clean_test_accuracy,0.9817000031471252
poison,target_class_clean_accuracy,0.9649805447470817
poison,target_class_patched_accuracy,1.0
